Date,Tweet-text,Retweets,Likes,entities,topic,confidence,sentiment,sentiment_confidence
2019/02/20_20:41,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,32770,313064,"[['Zion Williamson', 'PERSON']]",health,0.7429898381233215,positive,0.9673027396202089
2019/02/19_16:02,I’m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp. Tune in at http://obama.org .,11234,106946,"[['@StephenCurry30', 'PERSON']]",americans,0.4825387597084045,neutral,0.624858021736145
2019/02/14_10:32,Happy Valentine’s Day to the extraordinarily smart beautiful funny one and only @MichelleObama. It’s true; she does get down to Motown.pic.twitter.com/uypbZsEiqB,38486,421878,"[['@MichelleObama', 'PERSON']]",americans,0.4774929285049438,positive,0.982678771018982
2019/02/14_07:18,In the year since their friends were killed the students of Parkland refused to settle for the way things are and marched organized and pushed for the way things should be - helping pass meaningful new gun violence laws in states across the country. I'm proud of all of them.,74825,484722,"[['Parkland', 'EVENT']]",americans,0.6701710820198059,positive,0.6451148390769958
2019/02/13_19:10,Don’t be sad it’s over be proud it taught us so much. Congrats to all the men and women of @NASA on a @MarsRovers mission that beat all expectations inspired a new generation of Americans and demands we keep investing in science that pushes the boundaries of human knowledge.,35599,298673,"[['@NASA', 'ORG'],['@MarsRovers', 'PRODUCT'],['Americans', 'NORP']]",americans,0.576850414276123,positive,0.9727345705032348
2019/02/12_17:18,Happy 85th birthday to @RealBillRussell - the greatest champion in American sports and a lifelong warrior for justice.,12377,129038,"[['@RealBillRussell', 'PERSON'],['American', 'NORP']]",americans,0.5519194006919861,positive,0.9772383570671082
2019/02/07_20:03,We lost two great Americans today – Frank Robinson and John Dingell – citizens who inspired me and so many others by leading on the civil rights issues of our time opening doors to others and leaving it all on the field.,29136,241969,"[['Americans', 'NORP'],['Frank Robinson', 'PERSON'],['John Dingell', 'PERSON']]",americans,0.7982925176620483,positive,0.4944598376750946
2019/02/01_08:08,As we celebrate Black History Month and Jackie Robinson’s 100th birthday we celebrate the life of all whose courage opened the gates for everybody and in the process made America better.pic.twitter.com/Fl9aDxqcGi,40360,250601,"[['Jackie Robinson’s', 'PERSON'],['America', 'GPE']]",americans,0.6646353602409363,positive,0.9538598656654358
2019/01/21_08:14,"I’ve always drawn inspiration from what Dr. King called life’s most persistent and urgent question: ""What are you doing for others?"" Let’s honor his legacy by standing up for what is right in our communities and taking steps to make a positive impact on the world.",162936,770070,"[['King', 'PERSON']]",americans,0.4605499505996704,positive,0.8972945809364319
2018/12/29_08:15,Leaders like Jonny Boucher a Chicago native who after losing too many friends and family to suicide started a coffee shop to offer emotional support and guidance to those who might be in need of a little more than a strong cup of coffee to get through their day.pic.twitter.com/H6XPceR6d9,19658,113752,"[['Jonny Boucher', 'PERSON'],['Chicago', 'GPE']]",americans,0.5644256472587585,positive,0.4986013174057007
2018/12/29_08:15,Leaders like Moussa Kondo and Sandor Lederer who are each doing their part to fight corruption in their native countries of Mali and Hungary. Two people separated by continents but united in their pursuit of a more just transparent society.https://www.obama.org/fellowship/moussa-kondo-sandor-lederer/ …,3841,27248,"[['Moussa Kondo', 'PERSON'],['Sandor Lederer', 'PERSON'],['Mali', 'GPE'],['Hungary', 'GPE']]",politics,0.6290795803070068,positive,0.6475905179977417
2018/12/29_08:15,Leaders like Dejah Powell who started an organization to bring health and wellness resources to communities on the South Side of Chicago expanding food access and providing people the space and time to take care of themselves.pic.twitter.com/tPW7NxTGLO,5169,35342,"[['Dejah Powell', 'PERSON'],['the South Side', 'LOC']]",health,0.9355806112289428,positive,0.6897862553596497
2018/12/15_13:15,Today is the last day of open enrollment. That means it’s the deadline to make sure you and the people you love have health insurance in 2019. So head over to http://HealthCare.gov  to get covered! Here’s what else you need to know today about health care:pic.twitter.com/gosn6c6uCa,23581,79183,[],health,0.6260197758674622,neutral,0.5099277496337891
2018/12/10_07:40,No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019 the deadline to get covered is December 15. Go to http://HealthCare.gov  today and pass this on — you just might save a life.pic.twitter.com/8mHMsXGY0g,137703,349950,[],business,0.5847286581993103,neutral,0.5298559069633484
2018/12/02_14:09,Happy Hanukkah! Over these eight nights we draw inspiration from light that can overpower any darkness and recommit ourselves to building a brighter future for our families our communities and our world. Chag Sameach from the Obama family to yours.,52168,413129,"[['Hanukkah', 'EVENT'],['Chag Sameach', 'PERSON'],['Obama', 'PERSON']]",americans,0.6795555949211121,positive,0.9733326435089112
2018/11/30_21:36,America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today they are also filled with gratitude. Our thoughts are with the entire Bush family tonight – and all who were inspired by George and Barbara’s example.pic.twitter.com/g9OUPu2pjY,68331,373228,"[['America', 'GPE'],['George Herbert Walker Bush', 'PERSON'],['Bush', 'PERSON'],['George', 'PERSON'],['Barbara', 'PERSON']]",USA,0.6665958762168884,positive,0.6104850769042969
2018/11/20_17:37,Thanks to the Chicago @FoodDepository team for all you do and to the volunteers who are doing great work and let me crash today. Happy Thanksgiving everybody!https://twitter.com/FoodDepository/status/1065001878352740353 …,20582,140081,"[['Chicago', 'GPE'],['@FoodDepository', 'ORG']]",americans,0.5824317336082458,positive,0.9886646270751952
2018/11/15_08:43,Our future depends on all our young people including our boys and young men of color being able to achieve their dreams. Today I’m proud to share @MBK_Alliance’s first investments in communities devoted to this mission. Get inspired:http://obama.org/MBKA/communities …,16650,92441,"[['@MBK_Alliance’s', 'ORG']]",americans,0.6433192491531372,positive,0.969754695892334
2018/11/13_10:37,Of course @MichelleObama’s my wife so I’m a little biased here. But she also happens to be brilliant funny wise – one of a kind. This book tells her quintessentially American story. I love it because it faithfully reflects the woman I have loved for so long.pic.twitter.com/X0i9jja4TE,66013,539905,"[['@MichelleObama', 'PERSON'],['American', 'NORP']]",americans,0.6089274883270264,positive,0.9796367287635804
2018/11/11_19:20,Michelle and I are heartbroken for everybody who’s lost so much in California and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need:https://nyti.ms/2DdQB3c,55379,294025,"[['Michelle', 'PERSON'],['California', 'GPE'],['Americans', 'NORP']]",americans,0.7373813390731812,neutral,0.4476476907730102
2018/11/11_08:14,To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service responsibility generosity and citizenship that you helped defend.,114086,675333,"[['American', 'NORP']]",americans,0.5833055377006531,positive,0.8911828398704529
2018/11/07_08:13,Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night voters across the country started it.pic.twitter.com/gNk4WkeJUn,52239,327018,[],americans,0.4592050313949585,positive,0.9531537294387816
2018/11/05_10:46,When you vote you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally.,14073,61358,[],politics,0.8010587096214294,neutral,0.6742005348205566
2018/11/05_10:46,When we've been at such crossroads before Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched and mobilized and voted. We made history happen.,11864,52906,"[['Americans', 'NORP']]",americans,0.838374674320221,neutral,0.525875985622406
2018/11/05_10:46,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.,141921,518200,[],health,0.6950575113296509,positive,0.8357639312744141
2018/11/01_14:20,Speaking of preexisting conditions open enrollment starts today. If you or someone you know needs health care visit http://HealthCare.gov . Thanks to financial help most people can find plans for $75/month or less so check out your options and find a plan that works for you.pic.twitter.com/R52X9sgkbP,21909,56969,"[['http://HealthCare.gov', 'ORG']]",health,0.7148118019104004,positive,0.5836655497550964
2018/11/01_11:32,While we're talking about preexisting conditions the ACA is the law that finally protected your coverage for preexisting conditions. Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them.https://www.thecut.com/2018/10/republicans-dont-protect-preexisting-conditions.html …,22537,74309,"[['ACA', 'LAW'],['Democrats', 'NORP']]",health,0.68906170129776,neutral,0.5402185320854187
2018/10/31_11:20,Not sure who and what you can vote for? Head over to http://votesaveamerica.com/ballot  to look up your state learn who's running to represent you which measures you can help decide and more. Read up and get ready to vote on November 6.,36823,98797,[],politics,0.5456045269966125,neutral,0.8127053380012512
2018/10/30_08:44,Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6: http://IWillVote.com pic.twitter.com/hWkFHqi49K,25391,84380,[],health,0.7025619745254517,neutral,0.5384334921836853
2018/10/27_14:54,We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look love or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.,187580,848414,"[['Americans', 'NORP'],['Pittsburgh', 'GPE']]",americans,0.8589203953742981,negative,0.8582412004470825
2018/10/17_10:21,The last presidential election turned on fewer than 100000 votes in three states. More people go to Coachella. There’s no good excuse not to vote. Head over to http://Vote.org  to check your registration get your absentee ballot and find out where to vote on November 6.https://twitter.com/attn/status/1052577837968846848 …,100143,247603,"[['Coachella', 'GPE']]",politics,0.5566434860229492,neutral,0.5782338380813599
2018/10/11_18:51,America is always at our best when we look out for each other. Please do what you can to help people recover and rebuild from Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806 …,18581,97697,"[['America', 'GPE'],['Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806',        'EVENT'],                                                                    ]",americans,0.5643455386161804,positive,0.8374828696250916
2018/10/01_09:46,Today I’m proud to endorse even more Democratic candidates who aren’t just running against something but for something—to expand opportunity for all of us and to restore dignity honor and compassion to public service. They deserve your vote:pic.twitter.com/NO5jnhX3XD,47143,213976,"[['Democratic', 'NORP']]",politics,0.6409465074539185,positive,0.9619694352149964
2018/09/14_09:20,The first class of Obama Fellows is full of leaders like Keith—hardworking innovative and dedicated to partnering with their communities to drive transformational change.https://twitter.com/ObamaFoundation/status/1040634794764320773 …,13905,89671,"[['Obama', 'PERSON'],['Keith', 'PERSON']]",americans,0.604508101940155,positive,0.92151540517807
2018/09/11_06:52,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can’t overcome and no act of terror can ever change who we are.,138625,761556,"[['9/11', 'EVENT']]",americans,0.5744484663009644,positive,0.6333484649658203
2018/09/07_08:08,Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: http://go.illinois.edu/live,47429,264989,"[['the University of Illinois', 'ORG']]",politics,0.7263249754905701,positive,0.572147011756897
2018/08/29_12:54,Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we’re proud of these young people.pic.twitter.com/dQnDgswCj5,56714,391476,"[['Chicago', 'GPE'],['Michelle', 'PERSON']]",americans,0.4989070296287536,positive,0.9852465391159058
2018/08/26_14:40,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. https://twitter.com/LittleLeague/status/1033829386116640773 …,33411,373102,"[['Hawaii', 'GPE'],['the Little League World Series', 'EVENT'],['America', 'GPE']]",americans,0.5885749459266663,positive,0.9867472648620604
2018/08/25_18:09,Our statement on the passing of Senator John McCain:pic.twitter.com/3GBjNYxoj5,182180,864720,"[['John McCain', 'PERSON']]",americans,0.5104863047599792,neutral,0.886178731918335
2018/08/16_09:31,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade—our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace.pic.twitter.com/bfASqKlLc5,130920,585900,"[['Aretha', 'PERSON'],['American', 'NORP'],['the Queen of Soul', 'PERSON']]",americans,0.5595805644989014,positive,0.7210642099380493
2018/08/06_07:53,Bobby Kennedy was one of my heroes. He was someone who showed us the power of acting on our ideals the idea that any of us can be one of the “million different centers of energy and daring” that ultimately combine to change the world for the better.https://twitter.com/RFKHumanRights/status/1026456623311716354 …,38417,217885,"[['Bobby Kennedy', 'PERSON']]",americans,0.5019050240516663,positive,0.9142001271247864
2018/08/01_09:20,Today I’m proud to endorse such a wide and impressive array of Democratic candidates – leaders as diverse patriotic and big-hearted as the America they’re running to represent:pic.twitter.com/gWzalQhFas,53341,234581,"[['Democratic', 'NORP'],['America', 'GPE']]",americans,0.5312374830245972,positive,0.9823617339134216
2018/06/12_08:09,Congratulations to the @Capitals! This @NHLBlackhawks fan knows what it’s like to lift that cup – and I’m happy for all the Caps fans who cheer so hard for their team and for a team that celebrates so hard with its fans.,12755,148299,"[['@Capitals', 'ORG'],['@NHLBlackhawks', 'ORG'],['Caps', 'ORG']]",americans,0.5546655654907227,positive,0.9880535006523132
2018/06/01_08:33,This National Gun Violence Awareness Day show your commitment to keeping our kids safe from gun violence. Then for everyone we’ve lost take action to change our leadership and our laws until they reflect that commitment - no matter how long it takes.https://twitter.com/ofa/status/1002554110519009280 …,48147,215578,[],americans,0.5637979507446289,neutral,0.567639946937561
2018/05/28_09:02,We can never truly repay the debt we owe our fallen heroes. But we can remember them honor their sacrifice and affirm in our own lives those enduring ideals of justice equality and opportunity for which generations of Americans have given that last full measure of devotion.pic.twitter.com/pRxwmaMClL,112803,588155,"[['Americans', 'NORP']]",americans,0.710667073726654,neutral,0.5465853810310364
2018/05/23_13:40,This Center is for the leaders of tomorrow who are ready to step up and build the world as it should be. Michelle and I are grateful to Chicagoans and the Chicago City Council for making it happen.http://www.chicagotribune.com/news/obamacenter/ct-met-city-council-obama-pres-dential-center-20180523-story.html …,19907,133326,"[['Center', 'ORG'],['Michelle', 'PERSON'],['Chicagoans', 'NORP'],['the Chicago City Council', 'ORG']]",americans,0.6108870506286621,positive,0.9513907432556152
2018/04/17_17:44,Our statement on the passing of Former First Lady Barbara Bush:pic.twitter.com/MhTVYCL9Nj,49260,320292,"[['Barbara Bush', 'PERSON']]",americans,0.5543955564498901,neutral,0.8885297775268555
2018/03/25_08:34,Incredible to have a Chicago team in the Final Four. I’ll take that over an intact bracket any day! Congratulations to everybody @LoyolaChicago - let’s keep it going!,19676,223060,"[['Chicago', 'GPE'],['the Final Four', 'EVENT'],['@LoyolaChicago', 'ORG']]",americans,0.8291674852371216,positive,0.9851201176643372
2018/03/19_14:48,Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started this work with @MBK_Alliance but there’s so much more all of us have to do—government private sector academia & community leaders—to change the odds for our kids.https://twitter.com/upshotnyt/status/975774912764882946 …,26490,136499,[],americans,0.5620846152305603,positive,0.7636837959289551
2018/02/27_18:58,I got my start holding community meetings in Chicago so it was fun to be home for one tonight. Michelle and I want the world to come together on the South Side at a place built with local ideas values and hopes. That’s the @ObamaFoundation and Presidential Center.https://twitter.com/obamafoundation/status/968681134480674817 …,36149,235159,"[['Chicago', 'GPE'],['Michelle', 'PERSON'],['the South Side', 'LOC'],['Presidential Center.https://twitter.com/obamafoundation/status/968681134480674817',        'ORG'],                                                                ]",americans,0.6265611052513123,positive,0.9178281426429749
2018/02/21_08:33,Billy Graham was a humble servant who prayed for so many - and who with wisdom and grace gave hope and guidance to generations of Americans.,33584,251675,"[['Billy Graham', 'PERSON'],['Americans', 'NORP']]",americans,0.6282665729522705,positive,0.8423373103141785
2018/02/15_09:12,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm including long overdue common-sense gun safety laws that most Americans want then we have to change.,363910,1287417,"[['Parkland', 'EVENT'],['Americans', 'NORP']]",americans,0.6911221146583557,neutral,0.5444176197052002
2018/02/14_08:25,Happy Valentine’s Day @MichelleObama. You make every day and every place better.pic.twitter.com/aWvyytR7Mm,232868,1487065,[],americans,0.5246191024780273,positive,0.9880205988883972
2018/01/15_06:46,Dr. King was 26 when the Montgomery bus boycott began. He started small rallying others who believed their efforts mattered pressing on through challenges and doubts to change our world for the better. A permanent inspiration for the rest of us to keep pushing towards justice.,359247,1423668,"[['King', 'PERSON'],['Montgomery', 'GPE']]",americans,0.4962969720363617,positive,0.7055825591087341
2017/12/29_08:11,All across America people chose to get involved get engaged and stand up. Each of us can make a difference and all of us ought to try. So go keep changing the world in 2018.,111280,491998,"[['America', 'GPE']]",americans,0.5765767693519592,positive,0.8670632243156433
2017/12/29_08:10,Chris Long gave his paychecks from the first six games of the NFL season to fund scholarships in Charlottesville VA. He wanted to do more so he decided to give away an entire season’s salary. That’s a story from 2017.http://www.philly.com/philly/sports/eagles/philadelphia-eagles-chris-long-donated-paychecks-charity-20171019.html …,64750,264001,"[['Chris Long', 'PERSON'],['NFL', 'ORG'],['Charlottesville VA', 'GPE']]",americans,0.4983174502849579,neutral,0.7219973802566528
2017/12/29_08:09,Kat Creech a wedding planner in Houston turned a postponed wedding into a volunteer opportunity for Hurricane Harvey victims. Thirty wedding guests became an organization of hundreds of volunteers. That’s a story from 2017.https://www.click2houston.com/news/couple-postpones-wedding-inspires-help-for-harvey-victims …,22959,152563,"[['Kat Creech', 'PERSON'],['Houston', 'GPE'],['Hurricane Harvey', 'EVENT']]",americans,0.5176971554756165,neutral,0.5297539830207825
2017/12/29_08:09,As we count down to the new year we get to reflect and prepare for what’s ahead. For all the bad news that seemed to dominate our collective consciousness there are countless stories from this year that remind us what's best about America.,170097,764562,"[['America', 'GPE']]",USA,0.6360847353935242,positive,0.7398470640182495
2017/12/25_08:05,On behalf of the Obama family Merry Christmas! We wish you joy and peace this holiday season.pic.twitter.com/CNFUZrhrBj,241677,1435418,"[['Obama', 'PERSON']]",americans,0.6532660722732544,positive,0.9766453504562378
2017/12/14_14:39,There's no better time than the holiday season to reach out and give back to our communities. Great to hear from young people at the Boys & Girls Club in DC today.pic.twitter.com/FSJkj1qwg9,57429,404121,"[['the Boys & Girls Club', 'ORG'],['DC', 'GPE']]",americans,0.5810900330543518,positive,0.9835203289985656
2017/12/12_16:17,Happy Hanukkah everybody from the Obama family to yours. Chag Sameach!,81053,669809,"[['Obama', 'PERSON'],['Chag Sameach!', 'PERSON']]",americans,0.7879989147186279,positive,0.9661060571670532
2017/11/23_06:44,From the Obama family to yours we wish you a Happy Thanksgiving full of joy and gratitude.pic.twitter.com/xAvSQwjQkz,205459,1346777,"[['Obama', 'PERSON']]",americans,0.6705530285835266,positive,0.9860397577285768
2017/11/08_05:25,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all the victors in state legislative county and mayors' races. Every office in a democracy counts!,70290,418336,"[['@RalphNortham', 'PERSON'],['@PhilMurphyNJ', 'PERSON']]",politics,0.7203991413116455,positive,0.9388843774795532
2017/11/06_17:02,Every election matters - those who show up determine our future. Go vote tomorrow!http://www.vote.org ,55919,188070,[],politics,0.590287983417511,positive,0.6376529932022095
2017/11/05_16:51,We grieve with all the families in Sutherland Springs harmed by this act of hatred and we’ll stand with the survivors as they recover...,92582,531414,"[['Sutherland Springs', 'GPE']]",americans,0.6894449591636658,negative,0.5062501430511475
2017/11/01_06:06,Starting today you can sign up for 2018 health coverage. Head on over to http://HealthCare.gov  and find a plan that meets your needs.https://twitter.com/getuscovered/status/925709097076449280 …,131255,249492,[],health,0.6608593463897705,neutral,0.7107676863670349
2017/10/31_17:56,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.,98963,684200,"[['Michelle', 'PERSON'],['NYC', 'GPE'],['New Yorkers', 'NORP']]",americans,0.7891502380371094,negative,0.5054365992546082
2017/10/23_15:03,I’ll let you and @ladygaga handle the singing and we’ll handle the donations. There’s still time to give: http://oneamericaappeal.org .https://twitter.com/georgehwbush/status/922485638846443520 …,52179,301107,[],americans,0.6163650155067444,neutral,0.539520800113678
2017/10/21_17:02,Tonight the ex-Presidents are getting together in Texas to support all our fellow Americans rebuilding from this year’s hurricanes. Join us.https://twitter.com/americaappeal/status/921884880102875136 …,79846,488495,"[['Texas', 'GPE'],['Americans', 'NORP']]",americans,0.4853309392929077,positive,0.6743780970573425
2017/10/16_15:59,I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations John on receiving this year's Liberty Medal.,88233,657343,"[['@SenJohnMcCain', 'PERSON'],['John', 'PERSON'],['Liberty Medal', 'WORK_OF_ART']]",americans,0.5416553616523743,positive,0.9841692447662354
2017/10/02_05:41,Michelle & I are praying for the victims in Las Vegas. Our thoughts are with their families & everyone enduring another senseless tragedy.,378412,1647558,"[['Michelle', 'PERSON'],['Las Vegas', 'GPE']]",americans,0.542519748210907,neutral,0.4955543875694275
2017/09/29_19:22,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country.pic.twitter.com/WBzcltmgqj,58258,494448,"[['Team USA', 'ORG'],['the Invictus Games', 'EVENT'],['Joe', 'PERSON']]",americans,0.5104272961616516,positive,0.9899104237556458
2017/09/26_10:03,We're expanding our efforts to help Puerto Rico & the USVI where our fellow Americans need us right now. Join us at http://oneamericaappeal.org https://twitter.com/barackobama/status/905930380783620097 …,108677,326980,"[['Puerto Rico', 'GPE'],['USVI', 'GPE'],['Americans', 'NORP']]",americans,0.8377578854560852,positive,0.7162767648696899
2017/09/25_16:36,Prosecutor soldier family man citizen. Beau made us want to be better. What a legacy to leave. What a testament to @JoeBiden.https://twitter.com/joebiden/status/912459460316188673 …,55891,320367,"[['Beau', 'PERSON']]",americans,0.6877574920654297,positive,0.7067462801933289
2017/09/11_08:32,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,328609,1324399,"[['9/11', 'EVENT']]",americans,0.5727463364601135,neutral,0.4983894526958465
2017/09/08_14:34,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future.pic.twitter.com/nqYC1mjjTB,30126,230971,"[['McKinley Tech', 'ORG']]",americans,0.6274152994155884,positive,0.9868619441986084
2017/09/07_16:06,Americans always answer the call. http://OneAmericaAppeal.org pic.twitter.com/ktEvL6s89d,96699,325177,"[['Americans', 'NORP']]",americans,0.7334397435188293,positive,0.6943774819374084
2017/09/05_11:52,To target hopeful young strivers who grew up here is wrong because they’ve done nothing wrong. My statement: http://www.facebook.com/barackobama/ ,367099,892817,[],americans,0.6907558441162109,negative,0.5656160116195679
2017/08/27_16:14,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one way you can help now.https://twitter.com/redcross/status/901546157238833152 …,235195,804044,"[['Americans', 'NORP']]",americans,0.8706619739532471,positive,0.9575180411338806
2017/08/17_12:15,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.,304873,1564593,"[['Michelle', 'PERSON'],['Barcelona', 'GPE'],['Americans', 'NORP'],['Spanish', 'NORP']]",americans,0.8352883458137512,neutral,0.5896105170249939
2017/07/19_17:49,John McCain is an American hero & one of the bravest fighters I've ever known. Cancer doesn't know what it's up against. Give it hell John.,393565,2024462,"[['John McCain', 'PERSON'],['American', 'NORP'],['John', 'PERSON']]",americans,0.7760276794433594,neutral,0.3902198076248169
2017/06/22_12:41,Health care has always been about something bigger than politics: it's about the character of our country. https://www.facebook.com/barackobama/posts/10154996557026749 …,126220,432442,[],health,0.8592133522033691,neutral,0.6609611511230469
2017/06/02_10:35,On this National Gun Violence Awareness Day let your voice be heard and show your commitment to reducing gun violence.pic.twitter.com/eXkV4WmkqA,69620,380004,[],americans,0.5524144172668457,neutral,0.6779797077178955
2017/05/29_06:09,Forever grateful for the service and sacrifice of all who fought to protect our freedoms and defend this country we love.pic.twitter.com/y7IQltbEz9,127303,685817,[],americans,0.5248001217842102,positive,0.9638637900352478
2017/05/23_09:56,Our hearts go out to those killed and wounded in Manchester. Americans will always stand shoulder to shoulder with the people of the UK.,212023,1003769,"[['Manchester', 'GPE'],['Americans', 'NORP'],['UK', 'GPE']]",americans,0.8476046323776245,neutral,0.6028143763542175
