Date,Tweet-text,Retweets,Likes,entities,topic,confidence,sentiment,sentiment_confidence
2018/12/19_13:48,Merry Christmas and happy holidays to the extraordinary kids families and staff at Children’s National. And thanks for humoring me as your stand-in Santa.https://twitter.com/childrenshealth/status/1075507032537620480 …,66367,401532,['Children’s National' 'ORG'],family,0.8649957776069641,positive,0.9805282950401306
2018/12/14_16:58,Joe is right. Head to http://healthcare.gov  before tomorrow’s deadline. And nice bracelet by the way.https://twitter.com/JoeBiden/status/1073716529336860673 …,33374,155294,['Joe' 'PERSON'],health,0.6247575283050537,positive,0.78508460521698
2018/12/10_07:40,No jump shots. No ferns. No memes. Not this time. I’m going to give it to you straight: If you need health insurance for 2019 the deadline to get covered is December 15. Go to http://HealthCare.gov  today and pass this on — you just might save a life.pic.twitter.com/8mHMsXGY0g,137703,349950,,business,0.6007939577102661,neutral,0.5298559069633484
2018/12/02_14:09,Happy Hanukkah! Over these eight nights we draw inspiration from light that can overpower any darkness and recommit ourselves to building a brighter future for our families our communities and our world. Chag Sameach from the Obama family to yours.,52168,413129,"['Hanukkah' 'EVENT'],['Chag Sameach' 'PERSON'],['Obama' 'PERSON']",family,0.6629056334495544,positive,0.9422736167907715
2018/11/30_21:36,America has lost a patriot and humble servant in George Herbert Walker Bush. While our hearts are heavy today they are also filled with gratitude. Our thoughts are with the entire Bush family tonight – and all who were inspired by George and Barbara’s example.pic.twitter.com/g9OUPu2pjY,68331,373228,"['America' 'GPE'],['George Herbert Walker Bush' 'PERSON'],['Bush' 'PERSON'],['George' 'PERSON'],['Barbara' 'PERSON']",USA,0.7752286195755005,positive,0.5340408682823181
2018/11/21_10:57,I am grateful for the next generation of leaders -- the young people who are tolerant creative idealistic and doing the work to create the world as it should be. Who understand that hope requires action. From the Obama family to yours Happy Thanksgiving.https://twitter.com/ObamaFoundation/status/1065309361906561025 …,40830,243529,['Obama' 'PERSON'],family,0.9256411790847778,positive,0.9764726758003235
2018/11/13_10:37,Of course @MichelleObama’s my wife so I’m a little biased here. But she also happens to be brilliant funny wise – one of a kind. This book tells her quintessentially American story. I love it because it faithfully reflects the woman I have loved for so long.pic.twitter.com/X0i9jja4TE,66013,539905,"['@MichelleObama' 'PERSON'],['American' 'NORP']",family,0.6319175958633423,positive,0.9726320505142212
2018/11/11_19:20,Michelle and I are heartbroken for everybody who’s lost so much in California and grateful for the heroism of the firefighters who’ve been risking their lives around the clock to save others. Please do what you can to help our fellow Americans in need:https://nyti.ms/2DdQB3c,55379,294025,"['Michelle' 'PERSON'],['California' 'GPE'],['Americans' 'NORP']",family,0.6740245223045349,neutral,0.47118446230888367
2018/11/11_08:14,To all our veterans and your families: thank you. There's no tribute that can truly match the magnitude of your service and sacrifice. But all of us can do our best to live up to the American values of service responsibility generosity and citizenship that you helped defend.,114086,675333,['American' 'NORP'],family,0.6684530377388,positive,0.8805767297744751
2018/11/07_08:13,Congratulations to everybody who showed up and participated in our democracy in record numbers yesterday. The change we need won’t come from one election alone – but it is a start. Last night voters across the country started it.pic.twitter.com/gNk4WkeJUn,52239,327018,,politics,0.5372822880744934,positive,0.9531537294387817
2018/11/06_08:26,Today is the day. Today it’s your turn to raise your voice to change the course of this country for the better. So make it count. Get out there and vote. Go to http://IWillVote.com  or call 833-336-VOTE to confirm where you can vote and check voting hours.pic.twitter.com/6xdMbKhwkr,39469,175002,,politics,0.5195016264915466,positive,0.6741169095039368
2018/11/05_10:46,When you vote you have the power to protect voting rights. To make sure our criminal justice system treats everyone equally under the law. To strengthen laws that protect women in the workplace from harassment – and make sure they’re paid equally.,14073,61358,,politics,0.8977808952331543,neutral,0.6742005348205566
2018/11/05_10:46,When we've been at such crossroads before Americans have made the right choice. Not because we sat back and waited for history to happen -- but because we marched and mobilized and voted. We made history happen.,11864,52906,['Americans' 'NORP'],USA,0.47129252552986145,neutral,0.5211233496665955
2018/11/05_10:46,Tomorrow’s elections might be the most important of our lifetimes. The health care of millions is on the ballot. Making sure working families get a fair shake is on the ballot. The character of our country is on the ballot.,141921,518200,,health,0.6912357211112976,positive,0.8357639312744141
2018/11/01_14:20,Speaking of preexisting conditions open enrollment starts today. If you or someone you know needs health care visit http://HealthCare.gov . Thanks to financial help most people can find plans for $75/month or less so check out your options and find a plan that works for you.pic.twitter.com/R52X9sgkbP,21909,56969,['http://HealthCare.gov' 'ORG'],health,0.6304292678833008,positive,0.5845605731010437
2018/11/01_11:32,While we're talking about preexisting conditions the ACA is the law that finally protected your coverage for preexisting conditions. Those protections and your health care are absolutely at stake on Tuesday. Vote for Democrats who’ll protect them.https://www.thecut.com/2018/10/republicans-dont-protect-preexisting-conditions.html …,22537,74309,"['ACA' 'LAW'],['Democrats' 'NORP']",health,0.7852663993835449,neutral,0.5605764985084534
2018/10/31_11:20,Not sure who and what you can vote for? Head over to http://votesaveamerica.com/ballot  to look up your state learn who's running to represent you which measures you can help decide and more. Read up and get ready to vote on November 6.,36823,98797,,politics,0.6146106719970703,neutral,0.8127053380012512
2018/10/30_08:44,Your vote can decide the health care of millions. Your voice can determine the character of our country. You have power — use it! In most states you don't even have to wait until Election Day to cast a ballot. Find out where you can vote before Nov. 6: http://IWillVote.com pic.twitter.com/hWkFHqi49K,25391,84380,,health,0.7403091192245483,neutral,0.5384334921836853
2018/10/27_14:54,We grieve for the Americans murdered in Pittsburgh. All of us have to fight the rise of anti-Semitism and hateful rhetoric against those who look love or pray differently. And we have to stop making it so easy for those who want to harm the innocent to get their hands on a gun.,187580,848414,"['Americans' 'NORP'],['Pittsburgh' 'GPE']",USA,0.6713387370109558,negative,0.806166410446167
2018/10/17_10:21,The last presidential election turned on fewer than 100000 votes in three states. More people go to Coachella. There’s no good excuse not to vote. Head over to http://Vote.org  to check your registration get your absentee ballot and find out where to vote on November 6.https://twitter.com/attn/status/1052577837968846848 …,100143,247603,['Coachella' 'GPE'],politics,0.6550900340080261,neutral,0.5852564573287964
2018/10/11_18:51,America is always at our best when we look out for each other. Please do what you can to help people recover and rebuild from Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806 …,18581,97697,"['America' 'GPE'],['Hurricane Michael.https://www.charitynavigator.org/index.cfm?bay=content.view&cpid=6806'
 'EVENT']",USA,0.8552213311195374,positive,0.6493752002716064
2018/10/03_12:08,Happy Anniversary @MichelleObama. For 26 years you’ve been an extraordinary partner someone who can always make me laugh and my favorite person to see the world with.pic.twitter.com/s8xoZ9j2YR,68489,693716,['@MichelleObama' 'PERSON'],family,0.6320300102233887,positive,0.9870243072509766
2018/10/01_09:46,Today I’m proud to endorse even more Democratic candidates who aren’t just running against something but for something—to expand opportunity for all of us and to restore dignity honor and compassion to public service. They deserve your vote:pic.twitter.com/NO5jnhX3XD,47143,213976,['Democratic' 'NORP'],politics,0.7519968748092651,positive,0.9505618810653687
2018/09/25_13:49,The antidote to government by a powerful few is government by the organized energized many. This National Voter Registration Day make sure you're registered vote early if you can or show up on November 6. This moment is too important to sit out.,100639,379371,,politics,0.5510309338569641,positive,0.5609023571014404
2018/09/11_06:52,We will always remember everyone we lost on 9/11 thank the first responders who keep us safe and honor all who defend our country and the ideals that bind us together. There's nothing our resilience and resolve can’t overcome and no act of terror can ever change who we are.,138625,761556,['9/11' 'EVENT'],USA,0.5474541187286377,positive,0.6102576851844788
2018/09/07_08:08,Today I’m at the University of Illinois to deliver a simple message to young people all over the country: You need to vote because our democracy depends on it. I hope you'll tune in at 11am CT: http://go.illinois.edu/live,47429,264989,['the University of Illinois' 'ORG'],politics,0.8249806761741638,neutral,0.4959774911403656
2018/08/29_12:54,Yesterday I met with high school students on Chicago’s Southwest side who spent the summer learning to code some pretty cool apps. Michelle and I are proud to support programs that invest in local youth and we’re proud of these young people.pic.twitter.com/dQnDgswCj5,56714,391476,"['Chicago' 'GPE'],['Michelle' 'PERSON']",family,0.5547091960906982,positive,0.9783124923706055
2018/08/26_14:40,Congratulations to Hawaii for winning the Little League World Series! You make America very proud. https://twitter.com/LittleLeague/status/1033829386116640773 …,33411,373102,"['Hawaii' 'GPE'],['the Little League World Series' 'EVENT'],['America' 'GPE']",USA,0.6301118731498718,positive,0.9744632244110107
2018/08/16_09:31,Aretha helped define the American experience. In her voice we could feel our history all of it and in every shade—our power and our pain our darkness and our light our quest for redemption and our hard-won respect. May the Queen of Soul rest in eternal peace.pic.twitter.com/bfASqKlLc5,130920,585900,"['Aretha' 'PERSON'],['American' 'NORP'],['the Queen of Soul' 'PERSON']",USA,0.6655674576759338,positive,0.599288821220398
2018/08/01_09:20,Today I’m proud to endorse such a wide and impressive array of Democratic candidates – leaders as diverse patriotic and big-hearted as the America they’re running to represent:pic.twitter.com/gWzalQhFas,53341,234581,"['Democratic' 'NORP'],['America' 'GPE']",USA,0.6852461099624634,positive,0.9706797003746033
2018/06/08_09:01,“Low plastic stool cheap but delicious noodles cold Hanoi beer.” This is how I’ll remember Tony. He taught us about food — but more importantly about its ability to bring us together. To make us a little less afraid of the unknown. We’ll miss him.pic.twitter.com/orEXIaEMZM,233350,1098227,"['Hanoi' 'GPE'],['Tony' 'PERSON']",family,0.8026647567749023,positive,0.7166902422904968
2018/05/28_09:02,We can never truly repay the debt we owe our fallen heroes. But we can remember them honor their sacrifice and affirm in our own lives those enduring ideals of justice equality and opportunity for which generations of Americans have given that last full measure of devotion.pic.twitter.com/pRxwmaMClL,112803,588155,['Americans' 'NORP'],USA,0.4824737012386322,neutral,0.5653609037399292
2018/05/13_07:32,Happy Mother’s Day to every mom out there especially the remarkable moms in my life @MichelleObama and my mother-in-law Marian Robinson.pic.twitter.com/n65fyWg7O8,57003,583492,"['@MichelleObama' 'PERSON'],['Marian Robinson.pic.twitter.com/n65fyWg7O8' 'PERSON']",family,0.8747443556785583,positive,0.9636586308479309
2018/05/08_12:40,There are few issues more important to the security of the US than the potential spread of nuclear weapons or the potential for even more destructive war in the Middle East. Today’s decision to put the JCPOA at risk is a serious mistake. My full statement: https://www.facebook.com/barackobama/posts/10155854913976749 …,129117,440854,"['US' 'GPE'],['the Middle East' 'LOC'],['JCPOA' 'GPE']",USA,0.6574124097824097,negative,0.7904534339904785
2018/04/23_12:13,These talented young people will create a better future not just in Africa but around the world. I can’t wait to spend some time with @ObamaFoundation Leaders and look forward to honoring the Mandela legacy in Johannesburg this summer.https://twitter.com/obamafoundation/status/988475935463759878 …,29949,198789,"['Africa' 'LOC'],['@ObamaFoundation' 'ORG'],['Mandela' 'PERSON'],['Johannesburg' 'GPE']",family,0.528995156288147,positive,0.9687305688858032
2018/04/17_17:44,Our statement on the passing of Former First Lady Barbara Bush:pic.twitter.com/MhTVYCL9Nj,49260,320292,['Barbara Bush' 'PERSON'],family,0.6442999839782715,neutral,0.8355924487113953
2018/03/25_08:34,Incredible to have a Chicago team in the Final Four. I’ll take that over an intact bracket any day! Congratulations to everybody @LoyolaChicago - let’s keep it going!,19676,223060,"['Chicago' 'GPE'],['the Final Four' 'EVENT'],['@LoyolaChicago' 'ORG']",family,0.6116805076599121,positive,0.9677519202232361
2018/03/24_10:07,Michelle and I are so inspired by all the young people who made today’s marches happen. Keep at it. You’re leading us forward. Nothing can stand in the way of millions of voices calling for change.,314091,1554820,['Michelle' 'PERSON'],family,0.7108179926872253,positive,0.9318022131919861
2018/03/19_14:48,Our most important task as a nation is to make sure all our young people can achieve their dreams. We’ve started this work with @MBK_Alliance but there’s so much more all of us have to do—government private sector academia & community leaders—to change the odds for our kids.https://twitter.com/upshotnyt/status/975774912764882946 …,26490,136499,,USA,0.49092695116996765,positive,0.7636837959289551
2018/03/12_11:12,Four years ago @MichelleObama and I had the privilege to host Lt. Cmdr. Dan Cnossen and his fellow Paralympians and Olympians at the White House. Today we’re so proud of him for winning gold and silver - while still representing the red white and blue.pic.twitter.com/evDCV7zehM,19142,171934,"['@MichelleObama' 'PERSON'],['Dan Cnossen' 'PERSON'],['Paralympians' 'NORP'],['Olympians' 'NORP'],['the White House' 'FAC']",USA,0.5030913352966309,positive,0.9406622648239136
2018/02/21_08:33,Billy Graham was a humble servant who prayed for so many - and who with wisdom and grace gave hope and guidance to generations of Americans.,33584,251675,"['Billy Graham' 'PERSON'],['Americans' 'NORP']",USA,0.4680093228816986,positive,0.688360333442688
2018/02/15_09:12,We are grieving with Parkland. But we are not powerless. Caring for our kids is our first job. And until we can honestly say that we're doing enough to keep them safe from harm including long overdue common-sense gun safety laws that most Americans want then we have to change.,363910,1287417,"['Parkland' 'EVENT'],['Americans' 'NORP']",family,0.48915162682533264,neutral,0.5690407156944275
2018/02/14_08:25,Happy Valentine’s Day @MichelleObama. You make every day and every place better.pic.twitter.com/aWvyytR7Mm,232868,1487065,,family,0.7537704706192017,positive,0.9880205988883972
2017/12/29_08:11,All across America people chose to get involved get engaged and stand up. Each of us can make a difference and all of us ought to try. So go keep changing the world in 2018.,111280,491998,['America' 'GPE'],USA,0.8316422700881958,positive,0.8391730785369873
2017/12/29_08:09,As we count down to the new year we get to reflect and prepare for what’s ahead. For all the bad news that seemed to dominate our collective consciousness there are countless stories from this year that remind us what's best about America.,170097,764562,['America' 'GPE'],USA,0.8459593057632446,positive,0.6962711811065674
2017/12/25_08:05,On behalf of the Obama family Merry Christmas! We wish you joy and peace this holiday season.pic.twitter.com/CNFUZrhrBj,241677,1435418,['Obama' 'PERSON'],family,0.9592801332473755,positive,0.9718084931373596
2017/12/12_16:17,Happy Hanukkah everybody from the Obama family to yours. Chag Sameach!,81053,669809,"['Obama' 'PERSON'],['Chag Sameach!' 'PERSON']",family,0.9629130959510803,positive,0.9377608299255371
2017/12/11_12:16,Just got off a call to thank folks who are working hard to help more Americans across the country sign up for health coverage. But it's up to all of us to help spread the word: Sign up through this Friday at http://HealthCare.gov .https://twitter.com/getuscovered/status/940289973869215749 …,84205,220326,['Americans' 'NORP'],health,0.6968477368354797,positive,0.7987317442893982
2017/11/27_13:13,Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a lifetime of joy and happiness together.,109989,1127258,"['Michelle' 'PERSON'],['Harry' 'PERSON'],['Meghan Markle' 'PERSON']",family,0.8041080236434937,positive,0.9861620664596558
2017/11/23_06:44,From the Obama family to yours we wish you a Happy Thanksgiving full of joy and gratitude.pic.twitter.com/xAvSQwjQkz,205459,1346777,['Obama' 'PERSON'],family,0.9517741203308105,positive,0.9829508662223816
2017/11/20_11:02,ME: Joe about halfway through the speech I’m gonna wish you a happy birth-- BIDEN: IT’S MY BIRTHDAY! ME: Joe. Happy birthday to @JoeBiden my brother and the best vice president anybody could have.pic.twitter.com/sKbXjNiEjH,482109,1955860,"['Joe' 'PERSON'],['Joe' 'PERSON']",family,0.8539628386497498,positive,0.9794233441352844
2017/11/08_05:25,This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all the victors in state legislative county and mayors' races. Every office in a democracy counts!,70290,418336,"['@RalphNortham' 'PERSON'],['@PhilMurphyNJ' 'PERSON']",politics,0.8255175948143005,positive,0.9034377336502075
2017/11/06_17:02,Every election matters - those who show up determine our future. Go vote tomorrow!http://www.vote.org ,55919,188070,,politics,0.6166885495185852,positive,0.6376529932022095
2017/11/05_16:51,We grieve with all the families in Sutherland Springs harmed by this act of hatred and we’ll stand with the survivors as they recover...,92582,531414,['Sutherland Springs' 'GPE'],family,0.915157675743103,negative,0.524036705493927
2017/11/01_06:06,Starting today you can sign up for 2018 health coverage. Head on over to http://HealthCare.gov  and find a plan that meets your needs.https://twitter.com/getuscovered/status/925709097076449280 …,131255,249492,,health,0.7009636759757996,neutral,0.7107676863670349
2017/10/31_17:56,Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.,98963,684200,"['Michelle' 'PERSON'],['NYC' 'GPE'],['New Yorkers' 'NORP']",family,0.5980689525604248,neutral,0.5117791295051575
2017/10/23_15:03,I’ll let you and @ladygaga handle the singing and we’ll handle the donations. There’s still time to give: http://oneamericaappeal.org .https://twitter.com/georgehwbush/status/922485638846443520 …,52179,301107,,USA,0.45232218503952026,neutral,0.539520800113678
2017/10/16_15:59,I'm grateful to @SenJohnMcCain for his lifetime of service to our country. Congratulations John on receiving this year's Liberty Medal.,88233,657343,"['@SenJohnMcCain' 'PERSON'],['John' 'PERSON'],['Liberty Medal' 'WORK_OF_ART']",USA,0.5572543144226074,positive,0.9715479016304016
2017/10/02_05:41,Michelle & I are praying for the victims in Las Vegas. Our thoughts are with their families & everyone enduring another senseless tragedy.,378412,1647558,"['Michelle' 'PERSON'],['Las Vegas' 'GPE']",family,0.8670830726623535,neutral,0.48840057849884033
2017/09/29_19:22,Proud to cheer on Team USA at the Invictus Games today with my friend Joe. You represent the best of our country.pic.twitter.com/WBzcltmgqj,58258,494448,"['Team USA' 'ORG'],['the Invictus Games' 'EVENT'],['Joe' 'PERSON']",USA,0.8668404221534729,positive,0.9768218398094177
2017/09/25_16:36,Prosecutor soldier family man citizen. Beau made us want to be better. What a legacy to leave. What a testament to @JoeBiden.https://twitter.com/joebiden/status/912459460316188673 …,55891,320367,['Beau' 'PERSON'],family,0.7738330960273743,positive,0.6594134569168091
2017/09/19_19:30,Thinking about our neighbors in Mexico and all our Mexican-American friends tonight. Cuidense mucho y un fuerte abrazo para todos.,422157,1442382,"['Mexico' 'GPE'],['Mexican-American' 'NORP']",family,0.854274332523346,neutral,0.8165449500083923
2017/09/13_07:08,Michelle and I want the @ObamaFoundation to inspire and empower people to change the world. Here's how we're getting started this fall.https://twitter.com/obamafoundation/status/907938000113467392 …,62504,256067,"['Michelle' 'PERSON'],['@ObamaFoundation' 'ORG']",family,0.49830126762390137,positive,0.5966437458992004
2017/09/11_08:32,We remember everyone we lost on 9/11 and honor all who defend our country and our ideals. No act of terror will ever change who we are.,328609,1324399,['9/11' 'EVENT'],USA,0.657932460308075,neutral,0.49674540758132935
2017/09/08_14:34,Proud of these McKinley Tech students—inspiring young minds that make me hopeful about our future.pic.twitter.com/nqYC1mjjTB,30126,230971,['McKinley Tech' 'ORG'],USA,0.5013532042503357,positive,0.9815069437026978
2017/09/07_16:06,Americans always answer the call. http://OneAmericaAppeal.org pic.twitter.com/ktEvL6s89d,96699,325177,['Americans' 'NORP'],USA,0.8752495646476746,positive,0.6544960141181946
2017/09/05_11:52,To target hopeful young strivers who grew up here is wrong because they’ve done nothing wrong. My statement: http://www.facebook.com/barackobama/ ,367099,892817,,family,0.7255034446716309,negative,0.5656160116195679
2017/08/27_16:14,Thank you to all the first responders and people helping each other out. That's what we do as Americans. Here's one way you can help now.https://twitter.com/redcross/status/901546157238833152 …,235195,804044,['Americans' 'NORP'],USA,0.8290852308273315,positive,0.9458978176116943
2017/08/17_12:15,Michelle and I are thinking of the victims and their families in Barcelona. Americans will always stand with our Spanish friends. Un abrazo.,304873,1564593,"['Michelle' 'PERSON'],['Barcelona' 'GPE'],['Americans' 'NORP'],['Spanish' 'NORP']",family,0.5973830819129944,neutral,0.6798182129859924
2017/08/12_17:06,...For love comes more naturally to the human heart than its opposite. - Nelson Mandela,393547,1369281,['Nelson Mandela' 'PERSON'],family,0.5153418779373169,positive,0.5560877323150635
2017/06/22_12:41,Health care has always been about something bigger than politics: it's about the character of our country. https://www.facebook.com/barackobama/posts/10154996557026749 …,126220,432442,,health,0.9223266243934631,neutral,0.6609611511230469
2017/06/18_08:09,Of all that I've done in my life I'm most proud to be Sasha and Malia's dad. To all those lucky enough to be a dad Happy Father's Day!https://twitter.com/michelleobama/status/876454925131288580 …,244181,1320947,"['Sasha' 'PERSON'],['Malia' 'PERSON']",family,0.8212317228317261,positive,0.9734780192375183
